Manufacturer,Model,Code Name,Model Number,Carrier,IMEI,Serial Number,Barcode,HW,ICCID,IMSI,MDN,Custody,Received,Owner,Transfer Dates,Additional info
Nokia,,Danube,,Verizon,4402971552561,,,,FT10,,,Forrest Holub,10/3/2018,DUT,,
Nokia,,Danube,,Verizon,4402971552819,,,,FT14,,,Forrest Holub,10/3/2018,DUT,,
Reliance Orbic,,RC2200L,,Verizon,353362100005039,,,,DFIT5,,,Tech Mahindra,,DUT,,
Reliance Orbic,,RC2200L,,Verizon,353362100006797,,,,DFIT6,,,Tech Mahindra,,DUT,,
Reliance Orbic,,RC2200L,,Verizon,353362100004305,,,,DFIT7,,,Tech Mahindra,,DUT,,no battery
Motorola,,Malbec,,T-Mobile,354135100004742,NLMT110357,,,N/A,,,Forrest Holub,2/18/2019,DUT,,
Motorola,,Malbec,,T-Mobile,354135100008164,NLMT110206,,,N/A,,,Forrest Holub,2/18/2019,DUT,,
Motorola,,Rioja,,T-Mobile ,355572090008151,,,,N/A,,,Damber Chaudhary,,DUT,,
Motorola,,Rioja,,T-Mobile,355572090008466,,,,N/A,,,Damber Chaudhary,,DUT,,
Motorola,,Ocean,,MPCS?,359527090006090,NLHA4G0035,,,N/A,,,Forrest Holub,3/8/2019,DUT,,
Motorola,,Ocean,,MPCS?,359527090004507,NLHA4G0077,,,N/A,,,Forrest Holub,3/8/2019,DUT,,
Reliance Orbic,,RC2200L,,Verizon,353362100008033,,,,prepaid,,,Forrest Holub,,DUT,,
Reliance Orbic,,RC2200L,,Verizon,353362100008215,,,,prepaid 2,,,Forrest Holub,,DUT,,
Reliance Orbic,,RC2200L,,Verizon,353362100004446,,,,postpaid,,,Forrest Holub,,DUT,,
Reliance Orbic,,RC2200L,,Verizon,353362100006813,,,,postpaid 2,,,Forrest Holub,,DUT,,
Motorola,,Surf (P2),,T-Mobile,352179100040100,N1ST250104,,,n/a,,,Forrest Holub,,DUT,,
Motorola,,Surf (P2),,T-Mobile,352179100038971,N1ST250110,,,n/a,,,Damber,,DUT,,
Motorola,,Surf (P2),,T-Mobile,352179100039193,N1ST250109,,,n/a,,,Damber,,DUT,,
Motorola,,Surf (P2),,T-Mobile,352179100039003,N1ST250102,,,n/a,,,Forrest Holub,4/6/2019,DUT,,
Motorola,,Payton,,NS,356484080030774,NIWA380012,SJUG8057AA,P3A,,,,Forrest Holub,,DUT,,
Motorola,,Payton,,NS,356484080038843,NIWA460007,SJUG8056AA,,,,,Forrest Holub,,DUT,,
Motorola,,Payton,,NS,356484080039007,NIWA460013,SJUG8056AA,,,,,Forrest Holub,,DUT,,
Motorola,,Albus,,NS,351884080019443,NHVA270077,SJUG7982AA,,,,,Forrest Holub,,DUT,,
Motorola,,Moto G6,,Google Fi,351849090037727,NBNO4Y0263,,,,,,Forrest Holub,,DUT,,
Motorola,,SURF (DVT2),,TMO NS,352180100009202,N1SA2P0057,,HW2019030701210#25,,,,Forrest Holub,5/13/2019,DUT,,
Motorola,,SURF (DVT2),,TMO NS,352180100008246,N1SA2P0038,,HW201903070124#25,,,,Forrest Holub,5/13/2019,DUT,,
Motorola,,SURF (DVT2),,TMO NS,352180100009012,N1SA2P0052,,HW2019030701120#60,,,,Forrest Holub,5/13/2019,DUT,,
Motorola,,SURF (DVT2),,TMO NS,352180100008089,N1SA2P0017,,HW2019030701112#60,,,,Forrest Holub,5/13/2019,DUT,,
Motorola,,Rioja (PVT),,TMO Stock,354133100015669,NRIT4K0240,SA78C35599,,,,,Forrest Holub,9/1/2019,DUT,,
Motorola,,Rioja (PVT),,TMO Stock,354133100004754,NRIT410260,SA78C35599 (V2)(55),,,,,Forrest Holub,,DUT,,
Motorola,,Rioja (PVT),,TMO Stock,354100100004861,NRIT410214,SA78C35599 (V2)(59),,,,,Damber,,DUT,,
Motorola,,Rioja (PVT),,TMO Stock,354133100004887,NRIT410198,SA78C35599 (V2)(60),,,,,Damber,,DUT,,
Motorola,,Surf (PVT),,MPCS,352193100005724,N1SA420007,,,,,,Forrest Holub,,DUT,,
Motorola,,Surf (PVT),,MPCS,352193100005740,N1SA420008,,,,,,Forrest Holub,,DUT,,
Motorola,,Surf(PVT),,TMO NS,352180100013055,N1SA4Q0011,,,,,,Forrest Holub,,DUT,,
Coolpad,,Colonel,,Boost Mobile,990013500007161,,,,,,,Damber ,9/1/2019,DUT,,
Motorola,,Malbec Unified,,Sprint + TMO,354135100015045,NLMT4A0275,,,8931 2530 0000 1315 9480,,9132238757,Damber,,DUT,,
Motorola,,Ocean Unified,,Sprint + TMO,359528090029346,NLHT410111,,,8931 2530 0000 1315 9498,,913-633-1624,Forrest Holub,7/22/2019,DUT,,
Motorola,,Ocean Unified,,Sprint + TMO,359528090029569,NLHT410223,,,8931 2530 0000 1315 9506,,9132237525,Damber ,,DUT,,
Motorola,,Surf Unified,,Sprint + TMO,352179100049598,N1ST450038,,,8931 2530 0000 1315 9514,,9132237823,Damber,,DUT,,
Motorola,,Surf Unified,,Sprint + TMO,352179100050992,N1ST450003,,,8931 2530 0000 1315 9522,,not activated,Forrest Holub,7/22/2019,DUT,,
Motorola,,Rioja Unified,,Sprint + TMO,354133100015768 ,NRIT4K0243,,,8931 2530 0000 1315 9415,,9132308703,Forrest Holub,7/22/2019,DUT,,
Motorola,,Rioja Unified,,Sprint + TMO,354133100015636,NRIT4K0259,,,8931 2530 0000 1315 9423,,9132308795,Forrest Holub,,DUT,,Dambers Broken device. Wont' boot
Motorola,,Surf (PVT),,T-Mobile,352179100050075,N1ST450026,,,,,,Forrest Holub,,DUT,,
Motorola,,Surf (PVT),,T-Mobile,352179100050133,N1ST450053,,,,,,Forrest Holub,,DUT,,
Motorola,,Surf (PVT),,T-Mobile,352179100049556,N1ST450066,,,,,,Forrest Holub,,DUT,,
Motorola,,Malbec Unified,,Sprint + TMO,354135100014964,NLMT4A0216,,,8931 2530 0000 1315 9068,,913-275-8882,Forrest Holub,,DUT,,
Motorola,,Rioja Unified,,Sprint + TMO,354133100015958,NRIT4K0233,,,8931 2530 0000 1315 8979,,913-703-8970,Damber,,DUT,,
Motorola,,Surf Unified,,Sprint + TMO,352179100050364,N1ST450039,,,8931 2530 0000 1315 6171,,913-832-4829,Forrest Holub,,DUT,,
Motorola,,Sofia,XT2041-4,TMO NS,357244100019416,N2SA220040  ,,n/a,,,,Damber,,DUT,,
Motorola,,Sofia,XT2041-4,TMO NS,357244100019432,N2SA220055  ,,n/a,,,,Forrest Holub,10/28/2019,DUT,,
Motorola,,Sofia,XT2041-4,TMO NS,357244100020117,N2SA220057  ,,n/a,,,,Forrest Holub,10/28/2019,DUT,,
Motorola,,Sofia,XT2041-4,TMO NS,357244100019838,N2SA220058  ,,n/a,,,,Damber,,DUT,,
Motorola,,Foles,,TMO NS,352156100027311,NNBA450002,,,,,,Damber,,DUT,,
Motorola,,Foles,,TMO NS,352156100027287,NNBA450053,,,,,,Forrest Holub,,DUT,,
Motorola,,Sofia+ ,XT2043-4,MPCS ,359081100002531,N2PT220117,,HW20191010017,890126006291058 1129,,206-231-1391,Forrest Holub,,DUT,,
Motorola,,Sofia+ ,XT2043-4,MPCS,357246100006640,N2PT220146,,HW20191010017,890126006291058 1137,,206-231-8184,Damber,,DUT,,
Motorola,,Sofia+,XT2043-4,MPCS,359081100002523,N2PT220100,,HW20191010017,890126007390115 3950,,206-231-1831,Forrest Holub,,DUT,,
Motorola,,Channel,XT1952-4,Boost Mobile,359534090007738,NLMZ460401,SA79A6NVCH,PVT,890124013170000 6210F,,352-410-9777,Forrest Holub,12/12/2019,DUT,,PUK 25858429
Motorola,,Channel,XT1952-4,Boost Mobile,359534090007910,NLMZ460078,SA79A6NVCH,PVT,890124013170000 6327F,,352-573-3450,Forrest Holub,12/12/2019,DUT,,
Motorola,,Channel,XT1952-4,Boost Mobile,359534090007582,NLMZ460042,SA79A6NVCH,PVT,890124013170000 6319F,,352-573-,Damber,12/12/2019,DUT,,
Motorola,,Sofia,XT2041-4,TMO NS,357244100036444,N2SA420186,SA78C60044,PVT,,,,Forrest Holub,12/12/2019,DUT,,sample A42
Motorola,,Sofia,XT2041-4,TMO NS,357244100036014,N2SA420140,SA78C60044,PVT,,,,Forrest Holub,12/12/2019,DUT,,sample A42
Motorola,,Sofia,XT2041-4,TMO NS,357244100036246,N2SA420190,SA78C60044,PVT,,,,Forrest Holub,12/12/2019,DUT,,sample A42
Motorola,,RAV,XT2045-3,TMO NS,359109100032800,NRVA280234,SA78C66533,RF123611 3#15 RAV NA,,,,Forrest Holub,2/7/2020,DUT,,
Motorola,,RAV,XT2045-3,TMO NS,359109100032701,NRVA280223,SA78C66533,RF123611 10#15 RAV NA,,,,Forrest Holub,2/7/2020,DUT,,
Motorola,,RAV,XT2045-3,TMO NS,359109100032750,NRVA280191,SA78C66533,RF123611 4#15 RAV NA,,,,Forrest Holub,2/7/2020,DUT,,
Motorola,,RAV,XT2045-3,TMO NS,359109100032578,NRVA280227,SA78C66533,RF123611 8#15 RAV NA,,,,Forrest Holub,2/7/2020,DUT,,
Motorola,,GIN,XT2052-6,tmo stock,353587110005054,N6TT240070,SA79A6-87V,DVT2,,,,Forrest Holub,2/7/2020,DUT,,
Motorola,,GIN,XT2052-6,tmo stock,353587110005021,N6TT240041,SA79A6-87V,DVT2,,,,Forrest Holub,2/7/2020,DUT,,
Motorola,,GIN,XT2052-6,Unified,353587110004982,N6TT240013,SA79A6-87V,,89312530002014388399  ',312530201438839 ',,Brian Tungcab,2/7/2020,DUT,,shipped to Brian for test excecution
Motorola,,GIN,XT2052-6,Unified,353587110004842,N6TT240095,SA79A6-87V,,89312530002014388381',312530201438838',,Damber Chaudhary,6/22/2020,DUT,,changed to unified device 3/30/2020
motorola,REVVLRY,channel,XT1952-T,tmo stock,'354135100014980 ',NLMT4A0294,sa78c49699,PVT,'',,,Forrest,4/1/2020,DUT,,notta
motorola,moto e7,ginna ,XT2052-6,tmo stock,'353587110008108 ',N6TT410137,,PVT,'',,,Mon 04/20/2020,,DUT,,
motorola,moto e7,ginna ,XT2052-6,tmo stock,'353587110008470 ',N6TT410260,,PVT,'',,,Mon 04/20/2020,,DUT,,
motorola,moto e7,ginna,XT2052-1,TMO NS,'351636110015456 ',N6TA220154,,DVT2,'',,,Forrest,4/24/2020,DUT,,
motorola,moto e7,ginna,XT2052-6,Boost Mobile ,'353593110002703',N6TA220005,,DVT2,89312530000013151040',9132962652,,Forrest,4/24/2020,DUT,,This device was lost in shipping : case number: 042-042-7749; lost ICCID:8901240131700006137F - Activation OK 
motorola,moto e7,ginna,XT2052-1,TMO NS,'351636110015415 ',N6TA220167,,DVT2,'',,,Forrest,4/24/2020,DUT,,
motorola,moto g fast,rav,XT2045-3,boost,'359121100007187 ',NRVA4Q0092,,pvt1,'','',,Forrest,5/7/2020,DUT,,
motorola,moto e7,ginna,XT2052-6,Boost Mobile ,'353593110002653 ',N6TA220017,,DVT2,'89312530000013150745','312530001315214',9132223779,Forrest,6/1/2020,DUT,,
Schok,SFT656128,freedom_turbo_XL,,,990000900539737','990000900539737 ',49951880,,,,,,5/26/2020,DUT,,990000900539745'(IMEI2)
Schok,SFT656128,freedom_turbo_XL,,,990000900539786','990000900539786 ',4995183e,,,,,,5/27/2020,DUT,,990000900539794'(IMEI2)
Schok,SFT656128,freedom_turbo_XL,,,990000900539778','990000900539778 ',49951816,,,,,,5/27/2020,DUT,,990000900539786'(IMEI2)
motorola,moto z4,nairo,XT2075-2,att,353613110009167',NNIA150240,,dvt1a,'','',,Forrest,5/30/2020,DUT,,
motorola,moto z4,smith,XT2071-5,tmo,'353604110009976 ',NODT210223,,dvt2,'','',,Forrest,6/8/2020,DUT,,
motorola,moto z4,smith,XT2071-5,tmo,'353604110010792 ',NODT210186,,dvt2,'','',,Forrest,6/8/2020,DUT,,
motorola,moto z4,smith,XT2071-5,tmo,'353604110010156 ',NODT210191,,dvt2,'','',,Forrest,6/8/2020,DUT,,
motorola,motorola one 5G,nairo,XT2075-1,Verizon  ,'353614110015980 ',NNIV410043,,pvt,'89148000004177058693','311480997956637',14695598379,Forrest,7/20/2020,DUT,,
motorola,motorola edge plus,burton,XT2061-1,Verizon  ,'359120100018202 ',NTAV2L0115,,dvt2b,'','',,Forrest,7/20/2020,DUT,,
samsung,SM-G986U,y2q,,Verizon  ,'355525111074438 ',R5CN315HNAE,,,'','',,Forrest,7/20/2020,DUT,,
samsung,SM-G986U,y2q,,Verizon  ,'355525111074438 ',R5CN315HNAE,,,'','',,,7/20/2020,DUT,, 
motorola,motorola edge plus,burton,XT2061-1,Verizon  ,'359120100028862 ',NTAV4D0044,,pvt2,'','',,Laith,8/22/2020,DUT,,This was shipped as secondary reference for Sierra project
motorola,motorola edge plus,burton,XT2061-1,Verizon ,'359120100027153 ',NTAV490070,,pvt2,'89148000005965204183','311480578352083',19842275396,Forrest,8/22/2020,DUT,,Missing SIM tray
motorola,motorola razr (2020),smith,XT2071-5,tmo,'353604110024173 ',NODT410136,,pvt,'','',,,8/25/2020,DUT,,
motorola,motorola razr (2020),smith,XT2071-5,T-Mobile ,'353604110010537 ',NODT210095,,dvt2,'8901260272760252677','310260276025267',19198690563,,10/9/2020,DUT,,
Coolpad,CP3669AS,CP3669AS,,Boost Mobile ,'860084050008401 ',PZNNEE6HOVNNT8TW,,,'8901240132747784959','310240134778495',18056377243,Forrest Holub,11/5/2020,DUT,,
Coolpad,CP3669AS,CP3669AS,,Boost Mobile ,'860084050009193 ',CQHIJ7MR6T6DJBYT,,,'8901240132765405545','310240136540554',18056377243,Damber Chaudhary,11/5/2020,DUT,,
lge,LM-V600,timelm,,T-Mobile ,'352577110396612 ',LMV600TM2f542fad,,,'8901260161795070115','310260169507011',19199491677,Damber,11/18/2020,REF,,
lge,LM-K200,dh0lm,,Boost Mobile ,'358309780140920 ',218accfe,,,'8901240132785838642','310240138583864',19134856237,Damber,11/18/2020,DUT,,
Coolpad,CP3669AS,CP3669AS,,Boost Mobile ,'860084050009292 ',8X89LROJ8X5LYDCE,,,'8901240132765406139','310240136540613',19132370452,Damber,11/18/2020,DUT,,
lge,LM-V600,timelm,,T-Mobile ,'355657110639844 ',LMV600TM5483a99d,,,'8901260272760252677','310260276025267',19198690563,,11/18/2020,REF,,
Samsung,Galaxy S8,,SM-G950U,T-Mobile,357754081271018,,N/A,R28J42P73BH,,,,Forrest Holub,12/3/2019,,,
Samsung,Galaxy S8,,SM-G950U,T-Mobile,355987084679132,,N/A,R28J71QGNAN,,,,Damber,11/22/2019,,,
Motorola,Hannah,,,Sprint,990011070045280,,N/A,168582,,,,Forrest Holub,6/7/2018,,,
LG,V30,,VS996,Verizon,358041082313125,,N/A,N/A,,,,Sameer, 3/17/2019,,,
LG,V30,,VS996,Verizon,358041080530282,,N/A,N/A,,,,Sameer, 3/17/2019,,,
Samsung,Galaxy S7 32GB,,SM2G930RZKAUSC,USC,35616607943915,,N/A,N/A,,,,Forrest Holub,,,,
Samsung,Galaxy S7 32GB,,SM2G930RZKAUSC,USC,35616607934419,,N/A,N/A,,,,Forrest Holub,,,,
Google,Pixel 2,,,Unlocked (using for T-Mobile),35753608567766,,N/A,HT81GA02430,,,,Forrest Holub,9/1/2019,,,
Apple,iPhone 7,,A1778,T-Mobile,355317085035193,,TMO REF 2,N/A,,,,Forrest Holub, 9/1/2019,,,
LG,V30,,VS996,Verizon,358041082189152,,N/A,n/a,,,,Dwayne,5/7/2019,,,
LG,V30,,VS996,Verizon,358041081384531,,N/A,n/a,,,,Forrest Holub,5/24/2019,,,
LG,G6,,LG-H872,T-Mobile,357271081256741,,708KPXV125674,GOTA Serial LGH872ff5aaa88,,,,Forrest Holub, 9/1/2019,,,
Samsung,Galaxy S9,,SM-G960U1,MPCS/ Unlocked,3542 6709 0111 185,,R28K22YLEZF,REV1.1,890126033297413 7054,,206-231-1831,Damber,1/20/2020,,,
samsung,SM-G981U,,x1q,T-Mobile,355611111693953,,RFCN704MPLY,,8901260145785550000,,19198696655,Forrest,11/3/2020,,,
motorola,motorola one 5G UW,nairo,XT2075-1,Verizon ,353614110015675,NNIV410027,,pvt,89148000006635800000,311480637637881,14697999517,DUT,,Thu 01/07/2021,,
motorola,motorola one 5G,nairo,XT2075-1,vzw,353614110016582,NNIV410075,,pvt,,,,DUT,,Thu 01/07/2021,,
motorola,motorola edge plus,burton,XT2061-1,Verizon  ,359120100027518,NTAV4F0012,,pvt2,89148000006258000000,311480604040795,19196096249,DUT,,Thu 01/07/2021,,
samsung,SM-G781U,r8q,,T-Mobile ,354586440820256,RFCNB02PF4Z,,,8901260016733090000,310260013309443,19729993926,DUT,,Thu 01/07/2021,,
